Label0,Label1,Label2,Label3,Label4,Label5,Label6,Label7,Label8,Label9,LabelDesc,LabelScore0,LabelScore1,LabelScore2,LabelScore3,LabelScore4,LabelScore5,LabelScore6,LabelScore7,LabelScore8,LabelScore9,name,Label,LabelNew,Centroid,CentroidAttr
clothing,sleeve,outerwear,blouse,product,product,neck,top,,,clothing clothing clothing clothing clothing clothing clothing clothing clothing clothing sleeve sleeve sleeve sleeve sleeve sleeve sleeve sleeve sleeve outerwear outerwear outerwear outerwear outerwear outerwear outerwear outerwear blouse blouse blouse blouse blouse blouse blouse product product product product product product product product product product product product product neck neck neck neck neck neck top top top top top ,0.973232626914978,0.8619419932365417,0.7758947610855103,0.7294029593467712,0.6993568539619446,0.612044095993042,0.5959006547927856,0.5194835066795349,,,0006f69d1aadc924d0f81922644c584b/image_1.jpg,6,product_shirt_sleeve,False,"product, shirt, sleeve, white, outerwear, blouse, clothing, neck, pattern, button"
clothing,shoulder,fashion model,sleeve,day dress,neck,jeans,pattern,blouse,joint,clothing clothing clothing clothing clothing clothing clothing clothing clothing clothing shoulder shoulder shoulder shoulder shoulder shoulder shoulder shoulder fashion model fashion model fashion model fashion model fashion model fashion model fashion model fashion model sleeve sleeve sleeve sleeve sleeve sleeve sleeve sleeve day dress day dress day dress day dress day dress day dress neck neck neck neck neck neck jeans jeans jeans jeans jeans jeans pattern pattern pattern pattern pattern pattern blouse blouse blouse blouse blouse blouse joint joint joint joint joint joint ,0.9769984483718872,0.8285743594169617,0.7968201041221619,0.7566773891448975,0.6451963782310486,0.6391464471817017,0.6225870251655579,0.5958632230758667,0.5785730481147766,0.5710147023200989,0006f69d1aadc924d0f81922644c584b/image_2.jpg,2,clothing_fashion_model,False,"clothing, fashion, model, blouse, shoulder, neck, sleeve, trousers, joint, pattern"
clothing,day dress,dress,fashion model,cocktail dress,sleeve,neck,pattern,formal wear,pattern,clothing clothing clothing clothing clothing clothing clothing clothing clothing clothing day dress day dress day dress day dress day dress day dress day dress day dress day dress day dress dress dress dress dress dress dress dress dress dress dress fashion model fashion model fashion model fashion model fashion model fashion model fashion model fashion model fashion model cocktail dress cocktail dress cocktail dress cocktail dress cocktail dress cocktail dress cocktail dress sleeve sleeve sleeve sleeve sleeve sleeve sleeve neck neck neck neck neck neck neck pattern pattern pattern pattern pattern pattern formal wear formal wear formal wear formal wear formal wear formal wear pattern pattern pattern pattern pattern ,0.9754090905189514,0.9587544202804565,0.9521592259407043,0.91588294506073,0.7059992551803589,0.6789924502372742,0.6729792952537537,0.5885803699493408,0.560727059841156,0.5181599855422974,000e369880967ee369af2d3009f23ad8/image_1.jpg,7,dress_day_fashion,False,"dress, day, fashion, model, clothing, shoulder, neck, sleeve, nightwear, joint"
clothing,day dress,dress,fashion model,shoulder,polka dot,cocktail dress,pattern,design,sleeve,clothing clothing clothing clothing clothing clothing clothing clothing clothing clothing day dress day dress day dress day dress day dress day dress day dress day dress day dress day dress dress dress dress dress dress dress dress dress dress fashion model fashion model fashion model fashion model fashion model fashion model fashion model fashion model fashion model shoulder shoulder shoulder shoulder shoulder shoulder shoulder shoulder polka dot polka dot polka dot polka dot polka dot polka dot polka dot polka dot cocktail dress cocktail dress cocktail dress cocktail dress cocktail dress cocktail dress cocktail dress cocktail dress pattern pattern pattern pattern pattern pattern pattern design design design design design design design sleeve sleeve sleeve sleeve sleeve sleeve sleeve ,0.965984046459198,0.9596405029296875,0.9404071569442749,0.8742547631263733,0.8355780243873596,0.7929738759994507,0.7546271085739136,0.7335435152053833,0.7181419730186462,0.6994631886482239,000e369880967ee369af2d3009f23ad8/image_2.jpg,7,dress_day_fashion,False,"dress, day, fashion, model, clothing, shoulder, neck, sleeve, nightwear, joint"
clothing,dress,day dress,cocktail dress,sleeve,neck,,,,,clothing clothing clothing clothing clothing clothing clothing clothing clothing clothing dress dress dress dress dress dress dress dress dress dress day dress day dress day dress day dress day dress day dress day dress day dress day dress day dress cocktail dress cocktail dress cocktail dress cocktail dress cocktail dress cocktail dress cocktail dress sleeve sleeve sleeve sleeve sleeve sleeve sleeve neck neck neck neck neck neck neck ,0.972818911075592,0.9671326875686646,0.9610347747802734,0.6942113637924194,0.6793686747550964,0.6708545088768005,,,,,000e369880967ee369af2d3009f23ad8/image_3.jpg,9,dress_day_clothing,False,"dress, day, clothing, black, product, cocktail, shoulder, sleeve, pattern, neck"
plaid,tartan,shorts,active shorts,pattern,trunks,design,underpants,,,plaid plaid plaid plaid plaid plaid plaid plaid plaid tartan tartan tartan tartan tartan tartan tartan tartan tartan shorts shorts shorts shorts shorts shorts shorts shorts active shorts active shorts active shorts active shorts active shorts active shorts active shorts active shorts pattern pattern pattern pattern pattern pattern pattern pattern trunks trunks trunks trunks trunks trunks trunks design design design design design design design underpants underpants underpants underpants underpants underpants ,0.8740642666816711,0.8523346185684204,0.8285346627235413,0.7680022716522217,0.7676489949226379,0.741703450679779,0.7139511704444885,0.579815685749054,,,001aca919196ae1f821cb29dafe74619/image_1.jpg,0,font_product_accessory,False,"font, product, accessory, design, shorts, pattern, line, symmetry, red, textile"
plaid,tartan,pattern,design,,,,,,,plaid plaid plaid plaid plaid plaid plaid plaid plaid tartan tartan tartan tartan tartan tartan tartan tartan tartan pattern pattern pattern pattern pattern pattern pattern pattern design design design design design design design ,0.8882769346237183,0.8823097348213196,0.7816007137298584,0.717322826385498,,,,,,,001aca919196ae1f821cb29dafe74619/image_2.jpg,4,plaid_tartan_shirt,False,"plaid, tartan, shirt, button, design, pattern, product, sleeve, outerwear, jacket"
underpants,briefs,swim brief,aqua,shorts,trunks,swimsuit bottom,active shorts,undergarment,product,underpants underpants underpants underpants underpants underpants underpants underpants underpants underpants briefs briefs briefs briefs briefs briefs briefs briefs briefs swim brief swim brief swim brief swim brief swim brief swim brief swim brief swim brief swim brief aqua aqua aqua aqua aqua aqua aqua aqua shorts shorts shorts shorts shorts shorts shorts shorts trunks trunks trunks trunks trunks trunks trunks trunks swimsuit bottom swimsuit bottom swimsuit bottom swimsuit bottom swimsuit bottom swimsuit bottom swimsuit bottom swimsuit bottom active shorts active shorts active shorts active shorts active shorts active shorts active shorts active shorts undergarment undergarment undergarment undergarment undergarment undergarment undergarment undergarment product product product product product product product product ,0.9502233266830444,0.918330729007721,0.891282320022583,0.8477044105529785,0.8416805267333984,0.8352528810501099,0.8341630101203918,0.8341410160064697,0.8121939301490784,0.771287739276886,002492ea25a611581dc0a613ead86913/image_1.jpg,0,font_product_accessory,False,"font, product, accessory, design, shorts, pattern, line, symmetry, red, textile"
red,pattern,design,font,organism,heart,visual arts,graphics,,,red red red red red red red red red red pattern pattern pattern pattern pattern pattern pattern pattern design design design design design design design design font font font font font font font organism organism organism organism organism organism heart heart heart heart heart heart visual arts visual arts visual arts visual arts visual arts visual arts graphics graphics graphics graphics graphics graphics ,0.9569584727287292,0.8274781703948975,0.7727813124656677,0.7429195642471313,0.624942421913147,0.5781004428863525,0.5675892233848572,0.5572659373283386,,,002492ea25a611581dc0a613ead86913/image_2.jpg,0,font_product_accessory,False,"font, product, accessory, design, shorts, pattern, line, symmetry, red, textile"
tartan,sleeve,plaid,pattern,design,shirt,button,product,,,tartan tartan tartan tartan tartan tartan tartan tartan tartan sleeve sleeve sleeve sleeve sleeve sleeve sleeve sleeve sleeve plaid plaid plaid plaid plaid plaid plaid plaid plaid pattern pattern pattern pattern pattern pattern pattern pattern design design design design design design design design shirt shirt shirt shirt shirt shirt shirt button button button button button button button product product product product product product product ,0.9281764030456543,0.9196984171867371,0.9030187129974365,0.8376477360725403,0.7697581648826599,0.7332537174224854,0.715854823589325,0.6866331696510315,,,002bd2213fa2d833382f25ac8f22998d/image_1.jpg,4,plaid_tartan_shirt,False,"plaid, tartan, shirt, button, design, pattern, product, sleeve, outerwear, jacket"
